Event ID,วันเดือนปี,Event
1,7/25/2019,Stark จดทะเบียน Backdoor Listing
2,5/23/2022,ผู้บริหาร STARK อนุมัติลงทุนในกลุ่ม LEONI
3,9/23/2022,ผู้ถือหุ้น STARK อนุมัติลงทุนในกลุ่ม LEONI
4,12/13/2022,Stark แจ้งไม่ลงทุน LEONI 
5,1/27/2023,ตั้ง CEO คนใหม่
6,2/10/2023,CEO คนใหม่ลาออก
7,2/28/2023,ประกาศจะส่งงบการเงินปี 2665
8,3/1/2023,ขึ้นเครื่องหมาย SP หยุดการซื้อขายในตลาดหุ้นชั่วคราว
9,3/27/2023,ประธานกรรมการแจ้ง กลต เรื่องจัดตั้ง Special Audit
10,3/31/2023,เลื่อนส่งงบครั้งที่ 1
11,4/17/2023,ประธานกรรมการ 7 ลาออก
12,5/17/2023,กลต สั่งชี้แจงข้อเท็จจริงและจัดทำ Extemdded scope Special Audit
13,6/16/2023,ส่งงบประจำปีโดยผลประกอบการปรับลดลงอย่างมาก
