วันเดือนปี,price,ราคาเปิด,สูงสุด,ต่ำสุด,vol,% เปลี่ยน,Norm_price,stock
8/10/2023,174.5,174,175,172,6400000,0.87%,0.596551724,BBL
8/9/2023,173,170,173,170,4390000,1.76%,0.586206897,BBL
8/8/2023,170,173,173,170,7210000,-1.45%,0.565517241,BBL
8/7/2023,172.5,168.5,173.5,168.5,11890000,2.68%,0.582758621,BBL
8/4/2023,168,167,169,166.5,6950000,0.60%,0.551724138,BBL
8/3/2023,167,168,169,166.5,6830000,-0.89%,0.544827586,BBL
8/2/2023,168.5,169.5,170.5,168.5,11630000,-1.75%,0.555172414,BBL
7/31/2023,171.5,170.5,171.5,170,6360000,0.88%,0.575862069,BBL
7/27/2023,170,171,172,168.5,11890000,-0.87%,0.565517241,BBL
7/26/2023,171.5,169,171.5,168,10130000,1.78%,0.575862069,BBL
7/25/2023,168.5,168,169.5,167,7990000,0.30%,0.555172414,BBL
7/24/2023,168,165.5,168,164.5,15170000,2.13%,0.551724138,BBL
7/21/2023,164.5,167,167.5,163.5,17370000,0.30%,0.527586207,BBL
7/20/2023,164,163.5,165,163,9100000,0.00%,0.524137931,BBL
7/19/2023,164,163,164,161.5,8130000,0.61%,0.524137931,BBL
7/18/2023,163,160,163,159.5,9810000,1.88%,0.517241379,BBL
7/17/2023,160,158.5,160.5,158,8440000,1.27%,0.496551724,BBL
7/14/2023,158,157,158,156.5,9500000,0.96%,0.482758621,BBL
7/13/2023,156.5,157,157,155.5,6470000,-0.32%,0.472413793,BBL
7/12/2023,157,157.5,158.5,156.5,8890000,-0.63%,0.475862069,BBL
7/11/2023,158,157,158.5,157,7740000,0.96%,0.482758621,BBL
7/10/2023,156.5,156.5,157,155.5,5240000,0.32%,0.472413793,BBL
7/7/2023,156,155,157,155,4880000,0.00%,0.468965517,BBL
7/6/2023,156,158,158,156,13690000,-1.89%,0.468965517,BBL
7/5/2023,159,161,161,158,10010000,-0.93%,0.489655172,BBL
7/4/2023,160.5,159.5,161.5,159.5,9290000,0.63%,0.5,BBL
7/3/2023,159.5,160,160.5,158,8290000,0.00%,0.493103448,BBL
6/30/2023,159.5,158,159.5,157,11840000,1.92%,0.493103448,BBL
6/29/2023,156.5,156,158,155,10710000,0.64%,0.472413793,BBL
6/28/2023,155.5,160.5,160.5,155.5,25400000,-3.72%,0.465517241,BBL
6/27/2023,161.5,163,163,161,4730000,-0.92%,0.506896552,BBL
6/26/2023,163,163.5,164,162.5,3110000,0.00%,0.517241379,BBL
6/23/2023,163,163,164,162.5,2590000,0.00%,0.517241379,BBL
6/22/2023,163,163,164,162,6070000,0.00%,0.517241379,BBL
6/21/2023,163,161.5,163,161,3790000,0.93%,0.517241379,BBL
6/20/2023,161.5,160.5,163.5,160.5,5770000,0.31%,0.506896552,BBL
6/19/2023,161,160.5,162,159.5,3540000,0.00%,0.503448276,BBL
6/16/2023,161,162,162,160.5,4820000,-0.62%,0.503448276,BBL
6/15/2023,162,162.5,162.5,160.5,4700000,-0.61%,0.510344828,BBL
6/14/2023,163,164.5,164.5,163,3480000,-0.31%,0.517241379,BBL
6/13/2023,163.5,163,164.5,162.5,5610000,0.31%,0.520689655,BBL
6/12/2023,163,162.5,163,161.5,3030000,0.00%,0.517241379,BBL
6/9/2023,163,163,163.5,162,4440000,0.00%,0.517241379,BBL
6/8/2023,163,160.5,163,159.5,5310000,1.56%,0.517241379,BBL
6/7/2023,160.5,162,162,159,11690000,-0.62%,0.5,BBL
6/6/2023,161.5,164.5,164.5,161.5,5940000,-1.52%,0.506896552,BBL
6/2/2023,164,163.5,164.5,163,5760000,0.61%,0.524137931,BBL
6/1/2023,163,163,163.5,162,5040000,0.00%,0.517241379,BBL
5/31/2023,163,162,164,162,4440000,0.00%,0.517241379,BBL
5/30/2023,163,163.5,164,163,3540000,-0.61%,0.517241379,BBL
5/29/2023,164,163,164,162.5,3880000,0.61%,0.524137931,BBL
5/26/2023,163,162.5,163.5,162,5000000,0.00%,0.517241379,BBL
5/25/2023,163,163,163.5,161.5,7660000,0.31%,0.517241379,BBL
5/24/2023,162.5,161,163,160.5,5940000,0.93%,0.513793103,BBL
5/23/2023,161,159,161.5,159,4930000,0.94%,0.503448276,BBL
5/22/2023,159.5,159,160,156.5,7630000,-0.31%,0.493103448,BBL
5/19/2023,160,161.5,161.5,159,4810000,-0.93%,0.496551724,BBL
5/18/2023,161.5,161,162,160,7140000,1.57%,0.506896552,BBL
5/17/2023,159,160.5,160.5,158.5,6100000,-1.24%,0.489655172,BBL
5/16/2023,161,162,162.5,160,5790000,-0.62%,0.503448276,BBL
5/15/2023,162,163.5,164,162,11530000,0.00%,0.510344828,BBL
5/12/2023,162,162.5,163,160.5,5570000,-0.61%,0.510344828,BBL
5/11/2023,163,163,163.5,161.5,4500000,0.31%,0.517241379,BBL
5/10/2023,162.5,162.5,163,161,4760000,-0.31%,0.513793103,BBL
5/9/2023,163,162,163,160.5,4750000,0.62%,0.517241379,BBL
5/8/2023,162,159.5,162,159,6500000,2.21%,0.510344828,BBL
5/3/2023,158.5,158,159,157.5,4600000,0.32%,0.486206897,BBL
5/2/2023,158,157,158,156.5,4270000,0.64%,0.482758621,BBL
4/28/2023,157,158,158.5,156.5,4690000,0.00%,0.475862069,BBL
4/27/2023,157,157,157.5,155.5,4990000,-0.32%,0.475862069,BBL
4/26/2023,157.5,155.5,158.5,155.5,6100000,1.29%,0.479310345,BBL
4/25/2023,155.5,158,158.5,155.5,8240000,-1.58%,0.465517241,BBL
4/24/2023,158,160,160,158,5040000,-0.94%,0.482758621,BBL
4/21/2023,159.5,157,161.5,157,15280000,0.63%,0.493103448,BBL
4/20/2023,158.5,158.5,159.5,156.5,8880000,0.32%,0.486206897,BBL
4/19/2023,158,158.5,159,157.5,5970000,-1.25%,0.482758621,BBL
4/18/2023,160,160,160,159,3420000,0.63%,0.496551724,BBL
4/17/2023,159,158,159.5,157.5,6260000,1.27%,0.489655172,BBL
4/12/2023,157,158,158,156,4510000,-0.32%,0.475862069,BBL
4/11/2023,157.5,155.5,158,155,7830000,2.27%,0.479310345,BBL
4/10/2023,154,153,155,153,3420000,0.65%,0.455172414,BBL
4/7/2023,153,153,154,152.5,2870000,0.00%,0.448275862,BBL
4/5/2023,153,155,155,152.5,5000000,-0.97%,0.448275862,BBL
4/4/2023,154.5,154.5,155,153.5,4790000,0.32%,0.45862069,BBL
4/3/2023,154,152,154.5,152,4360000,1.65%,0.455172414,BBL
3/31/2023,151.5,154.5,155.5,151.5,12920000,-2.26%,0.437931034,BBL
3/30/2023,155,155.5,156.5,155,5410000,-0.64%,0.462068966,BBL
3/29/2023,156,156,157.5,155.5,8850000,0.97%,0.468965517,BBL
3/28/2023,154.5,153,155.5,153,6000000,1.64%,0.45862069,BBL
3/27/2023,152,152.5,152.5,151,5860000,-0.65%,0.44137931,BBL
3/24/2023,153,152.5,154,151.5,6310000,0.66%,0.448275862,BBL
3/23/2023,152,151,152.5,150.5,4990000,0.00%,0.44137931,BBL
3/22/2023,152,152.5,153,151.5,3550000,0.33%,0.44137931,BBL
3/21/2023,151.5,151.5,152.5,150,5290000,0.66%,0.437931034,BBL
3/20/2023,150.5,152,152,148.5,11830000,-1.95%,0.431034483,BBL
3/17/2023,153.5,151,154.5,151,12210000,2.68%,0.451724138,BBL
3/16/2023,149.5,149,150.5,148.5,14060000,-2.29%,0.424137931,BBL
3/15/2023,153,151,153.5,150,8070000,3.03%,0.448275862,BBL
3/14/2023,148.5,151,153,147.5,19060000,-2.94%,0.417241379,BBL
3/13/2023,153,157,157,152.5,13040000,-3.16%,0.448275862,BBL
3/10/2023,158,158,159,158,3260000,-0.63%,0.482758621,BBL
3/9/2023,159,160,160,158.5,6030000,-0.63%,0.489655172,BBL
3/8/2023,160,158,160,156.5,7930000,0.95%,0.496551724,BBL
3/7/2023,158.5,158.5,160,157.5,7800000,-0.31%,0.486206897,BBL
3/3/2023,159,158.5,160,157.5,9300000,0.32%,0.489655172,BBL
3/2/2023,158.5,163,163.5,157.5,16460000,-2.76%,0.486206897,BBL
3/1/2023,163,165,165,163,4190000,-0.31%,0.517241379,BBL
2/28/2023,163.5,162.5,165,162,6490000,0.62%,0.520689655,BBL
2/27/2023,162.5,163.5,164,161.5,5000000,-0.91%,0.513793103,BBL
2/24/2023,164,163.5,165,163,8160000,0.00%,0.524137931,BBL
2/23/2023,164,164,164,162.5,4380000,0.31%,0.524137931,BBL
2/22/2023,163.5,166.5,166.5,163,6180000,-1.51%,0.520689655,BBL
2/21/2023,166,165.5,166,163.5,8150000,0.61%,0.537931034,BBL
2/20/2023,165,162,165,162,9050000,2.80%,0.531034483,BBL
2/17/2023,160.5,162.5,162.5,160,7940000,-1.23%,0.5,BBL
2/16/2023,162.5,164.5,164.5,161.5,9150000,-0.91%,0.513793103,BBL
2/15/2023,164,165,165,163.5,6460000,-0.61%,0.524137931,BBL
2/14/2023,165,164.5,165.5,164,8490000,0.61%,0.531034483,BBL
2/13/2023,164,163.5,165.5,163.5,7950000,0.00%,0.524137931,BBL
2/10/2023,164,161,166,160,17560000,1.86%,0.524137931,BBL
2/9/2023,161,160.5,161.5,159.5,5250000,0.63%,0.503448276,BBL
2/8/2023,160,160,161,160,3530000,-0.31%,0.496551724,BBL
2/7/2023,160.5,161.5,161.5,160,3100000,-0.31%,0.5,BBL
2/6/2023,161,161.5,161.5,160,5660000,-0.31%,0.503448276,BBL
2/3/2023,161.5,161.5,162,161,3440000,0.00%,0.506896552,BBL
2/2/2023,161.5,161,162,160.5,12520000,0.94%,0.506896552,BBL
2/1/2023,160,160,160.5,158,7890000,0.95%,0.496551724,BBL
1/31/2023,158.5,160.5,161,158.5,13460000,-1.55%,0.486206897,BBL
1/30/2023,161,162.5,163,160.5,15880000,-0.92%,0.503448276,BBL
1/27/2023,162.5,158.5,163,157.5,32710000,2.52%,0.513793103,BBL
1/26/2023,158.5,155.5,158.5,155,17420000,2.26%,0.486206897,BBL
1/25/2023,155,154.5,155,154,7940000,0.98%,0.462068966,BBL
1/24/2023,153.5,153.5,154.5,153.5,8350000,0.33%,0.451724138,BBL
1/23/2023,153,152,154,151.5,10710000,0.99%,0.448275862,BBL
1/20/2023,151.5,152.5,153,150,24100000,-1.94%,0.437931034,BBL
1/19/2023,154.5,153.5,155,153,9300000,0.00%,0.45862069,BBL
1/18/2023,154.5,154.5,155,153.5,8600000,0.00%,0.45862069,BBL
1/17/2023,154.5,157,157,154,9910000,-1.59%,0.45862069,BBL
1/16/2023,157,157,157.5,156.5,7000000,0.32%,0.475862069,BBL
1/13/2023,156.5,156,157,154,17010000,0.64%,0.472413793,BBL
1/12/2023,155.5,157,158,155.5,11440000,-0.96%,0.465517241,BBL
1/11/2023,157,158.5,158.5,156.5,12840000,-1.26%,0.475862069,BBL
1/10/2023,159,158,159,156.5,9820000,0.95%,0.489655172,BBL
1/9/2023,157.5,158.5,159,157,10910000,0.32%,0.479310345,BBL
1/6/2023,157,153.5,157.5,153,11880000,2.95%,0.475862069,BBL
1/5/2023,152.5,155,155.5,152.5,14110000,-0.65%,0.444827586,BBL
1/4/2023,153.5,152,153.5,151.5,13500000,1.66%,0.451724138,BBL
1/3/2023,151,149,152,148,15480000,2.03%,0.434482759,BBL
12/30/2022,148,148,149,147.5,10470000,0.34%,0.413793103,BBL
12/29/2022,147.5,147,147.5,146,6080000,0.34%,0.410344828,BBL
12/28/2022,147,146.5,147.5,146,6090000,0.34%,0.406896552,BBL
12/27/2022,146.5,145.5,147,145.5,8030000,0.69%,0.403448276,BBL
12/26/2022,145.5,145,146,145,2260000,0.00%,0.396551724,BBL
12/23/2022,145.5,145.5,146,144.5,4370000,0.00%,0.396551724,BBL
12/22/2022,145.5,145,146,144.5,9110000,0.69%,0.396551724,BBL
