วันเดือนปี,price,ราคาเปิด,สูงสุด,ต่ำสุด,vol,% เปลี่ยน,Norm_Price,stock
8/9/2023,0.64,0.66,0.66,0.64,1510000,-3.03%,0.014662757,Rabbit
8/8/2023,0.66,0.67,0.67,0.66,180600,0.00%,0.020527859,Rabbit
8/7/2023,0.66,0.67,0.67,0.65,280000,0.00%,0.020527859,Rabbit
8/4/2023,0.66,0.66,0.67,0.66,1120000,0.00%,0.020527859,Rabbit
8/3/2023,0.66,0.68,0.69,0.66,678900,-4.35%,0.020527859,Rabbit
8/2/2023,0.69,0.68,0.69,0.68,463600,1.47%,0.029325513,Rabbit
7/31/2023,0.68,0.68,0.68,0.67,750100,0.00%,0.026392962,Rabbit
7/27/2023,0.68,0.68,0.68,0.66,1070000,1.49%,0.026392962,Rabbit
7/26/2023,0.67,0.67,0.67,0.66,572400,-1.47%,0.023460411,Rabbit
7/25/2023,0.68,0.67,0.68,0.67,462000,1.49%,0.026392962,Rabbit
7/24/2023,0.67,0.69,0.69,0.67,1440000,-2.90%,0.023460411,Rabbit
7/21/2023,0.69,0.69,0.69,0.68,134600,-1.43%,0.029325513,Rabbit
7/20/2023,0.7,0.7,0.7,0.69,1060000,1.45%,0.032258065,Rabbit
7/19/2023,0.69,0.68,0.7,0.68,205000,1.47%,0.029325513,Rabbit
7/18/2023,0.68,0.7,0.7,0.68,1050000,-2.86%,0.026392962,Rabbit
7/17/2023,0.7,0.7,0.7,0.68,738100,1.45%,0.032258065,Rabbit
7/14/2023,0.69,0.67,0.69,0.67,2620000,4.55%,0.029325513,Rabbit
7/13/2023,0.66,0.67,0.67,0.65,2660000,-1.49%,0.020527859,Rabbit
7/12/2023,0.67,0.67,0.7,0.67,2070000,-1.47%,0.023460411,Rabbit
7/11/2023,0.68,0.69,0.7,0.66,2400000,-1.45%,0.026392962,Rabbit
7/10/2023,0.69,0.68,0.71,0.68,1120000,0.00%,0.029325513,Rabbit
7/7/2023,0.69,0.68,0.7,0.68,2240000,0.00%,0.029325513,Rabbit
7/6/2023,0.69,0.69,0.71,0.69,1510000,-1.43%,0.029325513,Rabbit
7/5/2023,0.7,0.7,0.72,0.68,1770000,0.00%,0.032258065,Rabbit
7/4/2023,0.7,0.71,0.71,0.69,2560000,2.94%,0.032258065,Rabbit
7/3/2023,0.68,0.7,0.72,0.68,1590000,-2.86%,0.026392962,Rabbit
6/30/2023,0.7,0.68,0.71,0.68,2290000,2.94%,0.032258065,Rabbit
6/29/2023,0.68,0.68,0.7,0.67,4340000,1.49%,0.026392962,Rabbit
6/28/2023,0.67,0.69,0.7,0.66,43060000,-2.90%,0.023460411,Rabbit
6/27/2023,0.69,0.67,0.71,0.67,30530000,2.99%,0.029325513,Rabbit
6/26/2023,0.67,0.69,0.7,0.67,12860000,-2.90%,0.023460411,Rabbit
6/23/2023,0.69,0.69,0.7,0.64,28580000,0.00%,0.029325513,Rabbit
6/22/2023,0.69,0.72,0.72,0.49,41970000,-1.43%,0.029325513,Rabbit
6/21/2023,0.7,0.75,0.76,0.7,24240000,-6.67%,0.032258065,Rabbit
6/20/2023,0.75,0.74,0.75,0.7,28030000,1.35%,0.046920821,Rabbit
