วันเดือนปี,price,ราคาเปิด,สูงสุด,ต่ำสุด,vol,% เปลี่ยน,Norm_price,stock
6/30/2023,0.02,0.02,0.03,0.02,1140000000,0.00%,0,Stark
6/29/2023,0.02,0.02,0.03,0.01,471150000,0.00%,0,Stark
6/28/2023,0.02,0.02,0.02,0.01,225760000,0.00%,0,Stark
6/27/2023,0.02,0.02,0.03,0.02,61990000,-33.33%,0,Stark
6/26/2023,0.03,0.02,0.03,0.02,162590000,50.00%,0.001660578,Stark
6/23/2023,0.02,0.02,0.03,0.02,524190000,-33.33%,0,Stark
6/22/2023,0.03,0.03,0.03,0.02,226090000,0.00%,0.001660578,Stark
6/21/2023,0.03,0.01,0.03,0.01,1160000000,0.00%,0.001660578,Stark
6/20/2023,0.03,0.03,0.04,0.03,70650000,-40.00%,0.001660578,Stark
6/19/2023,0.05,0.05,0.06,0.05,71370000,-37.50%,0.004981734,Stark
6/16/2023,0.08,0.09,0.1,0.07,278710000,-11.11%,0.009963467,Stark
6/15/2023,0.09,0.1,0.11,0.09,90410000,-10.00%,0.011624045,Stark
6/14/2023,0.1,0.1,0.12,0.09,338430000,0.00%,0.013284623,Stark
6/13/2023,0.1,0.1,0.1,0.09,163960000,0.00%,0.013284623,Stark
6/12/2023,0.1,0.11,0.12,0.09,1120000000,-9.09%,0.013284623,Stark
6/9/2023,0.11,0.13,0.14,0.11,1120000000,-21.43%,0.014945201,Stark
6/8/2023,0.14,0.16,0.16,0.13,598510000,-6.67%,0.019926935,Stark
6/7/2023,0.15,0.18,0.2,0.15,1110000000,-16.67%,0.021587512,Stark
6/6/2023,0.18,0.18,0.21,0.17,1010000000,-18.18%,0.026569246,Stark
6/2/2023,0.22,0.17,0.23,0.14,2300000000,22.22%,0.033211558,Stark
6/1/2023,0.18,0.25,0.34,0.13,4900000000,-92.44%,0.026569246,Stark
2/28/2023,2.38,2.4,2.44,2.38,31920000,0.00%,0.39189638,Stark
2/27/2023,2.38,2.4,2.42,2.32,41150000,-0.83%,0.39189638,Stark
2/24/2023,2.4,2.44,2.48,2.36,99730000,-3.23%,0.395217536,Stark
2/23/2023,2.48,2.58,2.6,2.46,83020000,-3.88%,0.408502159,Stark
2/22/2023,2.58,2.62,2.64,2.56,41890000,-1.53%,0.425107938,Stark
2/21/2023,2.62,2.66,2.7,2.6,46160000,-1.50%,0.431750249,Stark
2/20/2023,2.66,2.6,2.74,2.58,77040000,2.31%,0.438392561,Stark
2/17/2023,2.6,2.6,2.62,2.56,45950000,0.00%,0.428429093,Stark
