วันเดือนปี,price,ราคาเปิด,สูงสุด,ต่ำสุด,vol,% เปลี่ยน_turtle,Norm_Price,stock
8/9/2023,5.6,5.7,6,5.6,23100,3.70%,0.586039995,Turtle
8/8/2023,5.4,5.15,5.4,5.15,500,-2.70%,0.560565533,Turtle
8/7/2023,5.55,5,5.55,5,68700,3.74%,0.579671379,Turtle
8/4/2023,5.35,5.2,5.4,4.92,25700,2.88%,0.554196918,Turtle
8/3/2023,5.2,5.4,5.4,5,11000,2.97%,0.535091071,Turtle
8/2/2023,5.05,4.94,5.4,4.92,12000,1.41%,0.515985225,Turtle
7/31/2023,4.98,4.94,5,4.7,13200,1.63%,0.507069163,Turtle
7/27/2023,4.9,4.9,5,4.6,1200,0.41%,0.496879378,Turtle
7/26/2023,4.88,4.88,4.88,4.88,100,-0.81%,0.494331932,Turtle
7/25/2023,4.92,4.7,4.94,4.7,800,-0.40%,0.499426825,Turtle
7/24/2023,4.94,4.94,4.94,4.94,100,2.92%,0.501974271,Turtle
7/21/2023,4.8,4.58,4.96,4.5,1700,5.26%,0.484142147,Turtle
7/20/2023,4.56,4.5,4.62,4.3,3100,1.33%,0.453572793,Turtle
7/19/2023,4.5,4.72,4.72,4.5,800,-3.02%,0.445930455,Turtle
7/18/2023,4.64,4.5,4.64,4.5,1000,3.11%,0.463762578,Turtle
7/17/2023,4.5,4.5,4.52,4.5,900,1.35%,0.445930455,Turtle
7/14/2023,4.44,4.5,4.5,4.44,1400,-1.33%,0.438288116,Turtle
7/13/2023,4.5,3.96,4.5,3.96,300,-4.66%,0.445930455,Turtle
7/12/2023,4.72,4.7,4.74,4.7,1300,-4.84%,0.473952363,Turtle
7/11/2023,4.96,4.62,5,4.6,2300,5.53%,0.504521717,Turtle
7/10/2023,4.7,4.7,4.74,4.7,1500,-0.42%,0.471404917,Turtle
7/7/2023,4.72,4.82,4.92,4.7,3500,-2.48%,0.473952363,Turtle
7/5/2023,4.84,4.84,4.84,4.84,400,-0.82%,0.48923704,Turtle
7/4/2023,4.88,4.86,4.88,4.86,300,-2.40%,0.494331932,Turtle
7/3/2023,5,4.82,5,4.82,5200,3.73%,0.509616609,Turtle
6/30/2023,4.82,4.84,5.05,4.82,8900,0.00%,0.486689594,Turtle
6/29/2023,4.82,4.82,4.82,4.82,700,0.00%,0.486689594,Turtle
6/28/2023,4.82,4.9,4.9,4.82,2700,-2.43%,0.486689594,Turtle
6/27/2023,4.94,4.96,5.05,4.94,16900,2.07%,0.501974271,Turtle
6/26/2023,4.84,4.96,4.96,4.84,3000,-2.42%,0.48923704,Turtle
6/23/2023,4.96,5.05,5.05,4.82,1100,-0.40%,0.504521717,Turtle
6/22/2023,4.98,4.74,4.98,4.74,34100,-0.40%,0.507069163,Turtle
